Level,Number,year2014,year2015,year2016,year2017,year2018,year2019
5,5,"Slip-stop special, Spike
太陽極意～けん","1 turn airplane, Flip swap spike
１回転飛行機～   けんフリップとめけん","1 turn tap reverse
1.5 turn swap spike
１回転タップ
うら 1.5 回転とめけん","Juggle spike
ジャグルとめけん","Juggle kick big cup, Spike, Earth turn
ジャグルキック大皿
～けん～地球まわし","Tap juggle spike
タップジャグルとめけん"
5,6,"Lunar flip, In
月面とんぼ返り～さかおとし","Kenflip penguin base cup, Kenflip base cup, Spike
けんフリップペンギン中皿
～けんフリップ中皿～けん","Underbird, Axe, Falling in
アンダーバード～まさかり
～さかおとし","Swing spike,
Candle, Spike
ふりけん～ろうそく～ろうそく返し","Ghost lighthouse insta lighthouse flip,
Tradespike
ゴースト灯台インスタとんぼ返り～けん","Kenflip tap lighthouse,
Tradespike
けんフリップタップ灯台
～けん"
5,7,"Inward lunar,
Tradespike
うら月面着陸～けん","1 turn lunar, Lunar flip, Falling in
１回転月面着陸～月面とんぼ返り～さかおとし","Kenflip reverse kenflip lighthouse, Falling in
けんフリップうらけん     フリップ灯台～さかおとし","Base cup hanging stunplane fasthand
中皿つるしすくいけんファストハンド","Underbird, Nod off underbird, Falling in
アンダーバードこっくり
～さかおとし","Mooncircle fast swing spike
円月はやてふりけん"
5,8,"Penguin base cup, Double kenflip base cup, Spike
ペンギン中皿～２回転フリップ中皿～けん","Border balance, Lighthouse, Falling in
ボーダーバランス～灯台～さかおとし","Lunar barrel roll,
Falling in
月面バレルロール
～さかおとし","Scramble 1 turn lunar, 1 turn falling in
スクランブル１回転月面
～１回転さかおとし","Inward lunar flip,
Falling in
うら月面とんぼ返り
～さかおとし","Ghost lunar, Stuntplane fasthand
ゴースト月面～        すくいけんファストハンド"
5,9,"Big cup, Kenflip lighthouse, Falling in
大皿～けんフリップ灯台
～さかおとし","Mooncircle swing gunslinger spike
円月殺法風車ふりけん","Boarders balance,
Tradespike
ボーダーバランス～けん","Handlestall, Falling in
中皿極意～さかおとし","Swivel downspike fasthand, Swivel spike
スイベルダウンスパイクファストハンド
～スイベルけん","Stuntplane fast under the leg catch
(Both feet on the ground)
かぶせけん股下キャッチ
（両足を地面につけておく）"
5,10,"Downspike, Airplane in
ダウンスパイクさかおとし","Kenflip downspike
けんフリップダウンスパイク","2 turn swing UFO swap spike
２回転やまびこ返しスワップスパイク","Base cup, Flip base cup,
Flip downspike
中皿～フリップ中皿～ フリップダウンスパイク","Candle grip kenflip downspike
ろうそくけんフリップダウンスパイク","Kenflip downspike
けんフリップ ダウンスパイク"
6,1,"Airplane, Inward flip lighthouse, Inward flip falling in
飛行機～うら１回転灯立
～うら１回転さかおとし","1 turn lighthouse, Trade kenflip spike
１回転灯台～
けんフリップとめけん","1 turn airplane, 1.5 turn trade kenflip spike
１回転飛行機～ 1.5 回転けんフリップとめけん","Mooncircle fast downspike
円月はやて ダウンスパイク","Lightning drop flamingo swap spike
稲妻おとしフラミンゴ １回転とめけん","Lightning drop flamingo swap spike
稲妻おとしフラミンゴスワップけん"
6,2,"Downspike, Down earth
地獄ぐるま","2 turn airplane, Double J-stick
２回転飛行機～ ２回転はねけん","Double gunslinger spike, Double whirlslinger
２回転風車ふりけん～ ２回転風車地球回し","1 turn airplane,
0.5 turn arm bounce 1 turn falling in
１回転飛行機～ ０．５回転アームバウンス
１回転さかおとし","Lightning drop fast 1 turn airplane
稲妻はやて１回転飛行機","Double mooncircle double kenflip swap in
２回転円月２回転   けんフリップスワップイン"
6,3,"Turntable, Reverse turntable, Spike
ターンテーブル往復～けん",Around 1 turn lighthouse    １回転灯台一周,"Juggle bird, 1 turn spike
ジャグルうぐいす
～回転けん","Around juggle
ジャグル一周","Axe barrel roll, Falling in
まさかりバレルロール
～さかおとし","Around stall, 1 turn spike
ふち一周～回転けん"
6,4,"1-turn stilt, Flip in
１回転たけうま～ １回転さかおとし","Swing spike, Kenflip reverse kenflip spike
ふりけん～けんフリップ                    うらけんフリップ地球まわし","1 turn lighthouse, Double tap
1 turn falling in
１回転灯台～ダブルタップ １回転さかおとし","Gunslinger flip spike
風車フリップとめけん","Double kenflip double kenflip juggle spike
２回転けんフリップ ２回転けんフリップジャグルとめけん","Stuntplane, Stuntplane forward flip fasthand penguin
すくいけん～すくいけんフォーワードフリップ ファストハンドペンギン"
6,5,"Double super flamingo spacewalk
ダブルスーパー
フラミンゴ宇宙遊泳","1 turn tap reverse flip stuntplane
１回転タップうらフリップすくいけん","Kenflip handlestall,
Kenflip spike
けんフリップ中皿極意～けんフリップとめけん","1 turn lighthouse,
Kneebounce 1 turn lighthouse flip, Tradespike
１回転灯台～
リフティングうら１回転灯台とんぼ返り～けん","Airplane, 1.5 turn swap juggle spike
飛行機～１．５回転スワップジャグルとめけん","Bird, Juggle bird, 1 turn spike
うぐいす
～ジャグルうぐいす
～回転けん"
6,6,"Backcross spacewalk 1-turn lighthouse,
Tradespike
はやぶさ返し         １回転灯台～けん","2 turn tap in
２回転タップイン","Big wing, Small wing, 1 turn spike
大皿極意～小皿極意
～回転けん","Downspike fasthand,
Candle, Ghost in
ダウンスパイクファストハンド～はやてろうそく
～ゴーストさかおとし","2 turn tap lighthouse, 2 turn tap lighthouse, Tradespike
２回転タップ灯台～     ２回転タップ灯台～けん","Stilt tre flip, Tradespike
たけうまトレとんぼ返り
～けん"
6,7,"1-turn lighthouse, Inward flip stuntplane
１回転灯台～うら １回転すくいけん","Lunar rover 360,
Falling in
月面着陸～月面３６０～さかおとし","Double lighthouse flip, Inward double
lighthouse flip, Falling in
２回転灯台とんぼ返り～うら２回転灯台とんぼ返り
～さかおとし","Turntable pause,
Turntable, Spike
ターンテーブルポーズ～ターンテーブル～けん","Naughty bird over the valley, 1 turn spike
けん先極意谷渡り
～回転けん","1 turn tap lighthouse, Tap lighthouse,  Tap inward flip in
１回転タップ灯台
～タップ灯台～タップうら１回転さかおとし"
6,8,"Airplane, Flip swap spike
飛行機～
けんフリップとめけん","Mooncircle lighthouse,
Stuntplane
円月殺法灯台（無回転）
～すくいけん","Inward lunar, Flip cushion inward lunar,
Falling in
うら月面～１回転クッションうら月面～さかおとし","Lunar, flip juggle ghost lunar, 1 turn falling in
月面～１回転ジャグルゴースト月面～         １回転さかおとし","Bird, Gravity drop stilt, 1 turn falling in
うぐいす～グラビティドロップたけうま
～１回転さかおとし","Inward lunar, Gypsy flip, Falling in
うら月面～ジプシーフリップ～さかおとし"
6,9,"Inward kenflip lighthouse, Falling in
うらけんフリップ灯台～さかおとし","Base cup scooping goldfish penguin, Spike
中皿金魚すくいペンギン
～けん","Spacewalk 1 turn stuntplane fasthand
宇宙遊泳１回転かぶせけん","Stilt flip, Downspike
たけうまとんぼ返り～ダウンスパイク","Airplane,
1.5 turn knee bounce inward 1.5 turn falling in
飛行機～     １．５回転リフティング
うら１．５回転さかおとし","Bunny hop floor spike
バニーホップ フロアスパイク"
6,10,"2-turn lighthouse, Trade downspike
２回転灯台～ダウンスパイク","Kenflip base cup, Base cup flip,
Kenflip downspike
けんフリップ中皿～中皿フリップ～けんフリップ
ダウンスパイク","Downspike, Penguin bird, Downspike
ダウンスパイク
～ペンギンうぐいす
～ダウンスパイク","1.5 kenflip kenflip downspike
１．５けんフリップけんフリップ
ダウンスパイク","Gunslinger downspike penguin fasthand
風車ダウンスパイク ペンギンファストハンド","Double juggle downspike
ダブルジャグルダウンスパイク"
7,1,"Stuntplane, Inward stuntplane flip
すくいけん～
うら１回転すくいけん","2 turn lighthouse, Double tre flip lighthouse, Falling in
２回転灯台～２回転トレとんぼ返り～さかおとし","1-2-3 jumping stick
はねけん 1-2-3","2 turn swap double juggle spike
２回転スワップダブルジャグルとめけん","Spacewalk fast handroll flick flip spike
宇宙遊泳ファスト扇風機フリックフリップけん",Kenflip juggle kenflip juggle spikeマテオチャンス
7,2,"Swing spike, Double whirlwind
ふりけん～２回転けんフリップ地球まわし","Stuntplane, Double stuntplane flip
すくいけん～     ２回転すくいけん","Double gunslinger swap no turn lighthouse, Trade downspike
２回転風車無回転灯台～ダウンスパイク","Aiplane, 1.5 swap inward 1 turn falling in
飛行機～１．５スワップうら１回転さかおとし","Airplane,
1.5 turn swap juggle
1.5 kenflip swap in
飛行機～１．５回転スワップジャグル１．５回転けん
フリップスワップイン","Airplane, 1.5 swap ghost throw tap swap
1.5 kenflip swap in
飛行機～１．５回転スワップゴーストスロータップ  スワップ１．５回転
けんフリップスワップイン"
